id, address, area, category, base price, sale price, competitors count, notes
2, 基隆市安樂區大武崙段內寮小段193-7地號, 22（國有持分1/5，面積4.4平方公尺）, 保護區, "13,200", , , 
3, 基隆市安樂區大武崙段內寮小段193-8地號, 30（國有持分1/5，面積6平方公尺）, 保護區, "18,000", , , 
4, 基隆市安樂區武嶺段547地號, 111.48（國有持分7/30，面積26.01平方公尺）, 保護區, "78,030", , , 
5, 基隆市七堵區溪頭段172地號, 295.82（國有持分1/48，面積6.16平方公尺）, 倉儲區, "230,754", , , 
6, 基隆市七堵區工建段380地號, 22（國有持分61/130，面積10.32平方公尺）, 住宅區, "390,406", , , 
7, 基隆市中正區忠義段三小段5地號, 132, 商業區, "25,876,720", "38,510,000", 5, 
7, 基隆市中正區忠義段三小段5-17地號, 41, 商業區, "25,876,720", "38,510,000", 5,
7, 基隆市中正區忠義段三小段5-26地號, 39, 商業區, "25,876,720", "38,510,000", 5,
1, 花蓮縣花蓮市北濱段664-8地號, 5, 商(一)商業區, "26,908,060", "35,028,888", 1, 
1, 花蓮縣花蓮市北濱段675地號, 188, 商(一)商業區, "26,908,060", "35,028,888", 1,
2, 花蓮縣花蓮市四維段144地號, 705.81, 農業區, "3,959,594", "4,001,000", 1, 
3, 花蓮縣花蓮市慈雲段274地號, 167.17, 農業區, "5,715,391", , , 
3, 花蓮縣花蓮市慈雲段291地號, 450.71, 農業區, "5,715,391", , ,
4, 花蓮縣吉安鄉太昌段1060地號, 95, 住宅區, "2,989,650", , , 
5, 花蓮縣壽豐鄉大湖腳段1023地號, 146.82, 一般農業區甲種建築用地, "537,361", , , 
6, 花蓮縣光復鄉大安段143地號, 370, 農業區, "166,500", , , 
1, 臺北市大安區辛亥段一小段176、176-2、178地號, 741, 第三種住宅區, "448,334,640", "448,888,999", 1, 
2, 臺北市中正區中正段一小段93地號, 459, 第三種住宅區, "403,415,100", "501,688,888", 2, 
3, 臺北市中正區城中段三小段118地號, 308, 第四種商業區, "599,494,280", , , 
4, 臺北市中正區河堤段五小段134地號, 242, 第三種住宅區, "121,222,640", "145,341,688", 3, 
5, 臺北市大同區大龍段一小段196、196-1、196-2地號, 687, 第三種住宅區, "287,172,870", "308,000,000", 1, 
6, 臺北市中山區中山段四小段525地號, 91, 第四種住宅區, "60,671,520", "63,899,999", 1, 
1, 宜蘭縣宜蘭市金六結段五結小段113-22地號, 33.00, 住宅區, "2,421,230", , , 
1, 宜蘭縣宜蘭市金六結段五結小段G0028建號之未辦保存登記建物（宜蘭市泰山路復國巷59號）, 33.57, 住宅區, "2,421,230", , ,
2, 宜蘭縣礁溪鄉玉石段555地號, 511.79（國有持分670/10000，面積約34.29平方公尺）, 住宅區, "5,057,056", "6,000,000", 2, 得標
2, 宜蘭縣礁溪鄉玉石段1258建號（礁溪鄉忠孝路97巷7號1樓之1）, 約34.21, 住宅區, "5,057,056", "6,000,000", 2,
2, 宜蘭縣礁溪鄉玉石段1259建號（礁溪鄉忠孝路97巷7號1樓之2）, 約43.73, 住宅區, "5,057,056", "6,000,000", 2,
